x,y,z,Gamma
0.24889999628067017,-1.2422372698783875,0.0,0.45369795
0.24889999628067017,-1.2372961640357971,0.0,0.69807816
0.24889999628067017,-1.2315239310264587,0.0,0.89891356
0.24889999628067017,-1.2249205112457275,0.0,1.0806143
0.24889999628067017,-1.2174858450889587,0.0,1.2515281
0.24889999628067017,-1.2092199325561523,0.0,1.4154563
0.24889999628067017,-1.2001228332519531,0.0,1.5743947
0.24889999628067017,-1.190194547176361,0.0,1.7294694
0.24889999628067017,-1.1794350147247314,0.0,1.8813295
0.24889999628067017,-1.167844295501709,0.0,2.0303369
0.24889999628067017,-1.1554223895072937,0.0,2.1766686
0.24889999628067017,-1.1421692967414856,0.0,2.3203793
0.24889999628067017,-1.1280850172042847,0.0,2.4614391
0.24889999628067017,-1.1131694912910461,0.0,2.5997634
0.24889999628067017,-1.09742271900177,0.0,2.7352293
0.24889999628067017,-1.080844759941101,0.0,2.8676925
0.24889999628067017,-1.0634356141090393,0.0,2.9969964
0.24889999628067017,-1.0451952815055847,0.0,3.1229818
0.24889999628067017,-1.0261237621307373,0.0,3.245493
0.24889999628067017,-1.0062209963798523,0.0,3.3643835
0.24889999628067017,-0.9854870140552521,0.0,3.4795206
0.24889999628067017,-0.9639218151569366,0.0,3.5907872
0.24889999628067017,-0.9415254294872284,0.0,3.698084
0.24889999628067017,-0.9182978570461273,0.0,3.8013306
0.24889999628067017,-0.894239068031311,0.0,3.9004643
0.24889999628067017,-0.8693490624427795,0.0,3.9954417
0.24889999628067017,-0.8436278402805328,0.0,4.086236
0.24889999628067017,-0.8170754313468933,0.0,4.1728363
0.24889999628067017,-0.7896918058395386,0.0,4.255248
0.24889999628067017,-0.761476993560791,0.0,4.3334885
0.24889999628067017,-0.7324309647083282,0.0,4.407588
0.24889999628067017,-0.7025537192821503,0.0,4.4775867
0.24889999628067017,-0.6718452870845795,0.0,4.5435343
0.24889999628067017,-0.6403056383132935,0.0,4.605486
0.24889999628067017,-0.6079347729682922,0.0,4.663503
0.24889999628067017,-0.5747327208518982,0.0,4.717651
0.24889999628067017,-0.5406994819641113,0.0,4.767995
0.24889999628067017,-0.5058349967002869,0.0,4.814601
0.24889999628067017,-0.4701393097639084,0.0,4.8575335
0.24889999628067017,-0.4336124360561371,0.0,4.8968506
0.24889999628067017,-0.3962543457746506,0.0,4.932607
0.24889999628067017,-0.35806505382061005,0.0,4.9648476
0.24889999628067017,-0.3190445452928543,0.0,4.993607
0.24889999628067017,-0.27919283509254456,0.0,5.018907
0.24889999628067017,-0.23850993067026138,0.0,5.040754
0.24889999628067017,-0.196995809674263,0.0,5.0591354
0.24889999628067017,-0.1546504870057106,0.0,5.0740175
0.24889999628067017,-0.11147395521402359,0.0,5.085342
0.24889999628067017,-0.06746621616184711,0.0,5.0930204
0.24889999628067017,-0.022627273574471474,0.0,5.096933
0.24889999628067017,0.022627273574471474,0.0,5.096933
0.24889999628067017,0.06746621616184711,0.0,5.0930204
0.24889999628067017,0.11147395521402359,0.0,5.085342
0.24889999628067017,0.1546504870057106,0.0,5.0740175
0.24889999628067017,0.196995809674263,0.0,5.0591354
0.24889999628067017,0.23850993067026138,0.0,5.040754
0.24889999628067017,0.27919283509254456,0.0,5.018907
0.24889999628067017,0.3190445452928543,0.0,4.993607
0.24889999628067017,0.35806505382061005,0.0,4.9648476
0.24889999628067017,0.3962543457746506,0.0,4.932607
0.24889999628067017,0.4336124360561371,0.0,4.8968506
0.24889999628067017,0.4701393097639084,0.0,4.8575335
0.24889999628067017,0.5058349967002869,0.0,4.814601
0.24889999628067017,0.5406994819641113,0.0,4.767995
0.24889999628067017,0.5747327208518982,0.0,4.717651
0.24889999628067017,0.6079347729682922,0.0,4.663503
0.24889999628067017,0.6403056383132935,0.0,4.605486
0.24889999628067017,0.6718452870845795,0.0,4.5435343
0.24889999628067017,0.7025537192821503,0.0,4.4775867
0.24889999628067017,0.7324309647083282,0.0,4.407588
0.24889999628067017,0.761476993560791,0.0,4.3334885
0.24889999628067017,0.7896918058395386,0.0,4.255248
0.24889999628067017,0.8170754313468933,0.0,4.1728363
0.24889999628067017,0.8436278402805328,0.0,4.086236
0.24889999628067017,0.8693490624427795,0.0,3.9954417
0.24889999628067017,0.894239068031311,0.0,3.9004643
0.24889999628067017,0.9182978570461273,0.0,3.8013306
0.24889999628067017,0.9415254294872284,0.0,3.698084
0.24889999628067017,0.9639218151569366,0.0,3.5907872
0.24889999628067017,0.9854870140552521,0.0,3.4795206
0.24889999628067017,1.0062209963798523,0.0,3.3643835
0.24889999628067017,1.0261237621307373,0.0,3.245493
0.24889999628067017,1.0451952815055847,0.0,3.1229818
0.24889999628067017,1.0634356141090393,0.0,2.9969964
0.24889999628067017,1.080844759941101,0.0,2.8676925
0.24889999628067017,1.09742271900177,0.0,2.7352293
0.24889999628067017,1.1131694912910461,0.0,2.5997634
0.24889999628067017,1.1280850172042847,0.0,2.4614391
0.24889999628067017,1.1421692967414856,0.0,2.3203793
0.24889999628067017,1.1554223895072937,0.0,2.1766686
0.24889999628067017,1.167844295501709,0.0,2.0303369
0.24889999628067017,1.1794350147247314,0.0,1.8813295
0.24889999628067017,1.190194547176361,0.0,1.7294694
0.24889999628067017,1.2001228332519531,0.0,1.5743947
0.24889999628067017,1.2092199325561523,0.0,1.4154563
0.24889999628067017,1.2174858450889587,0.0,1.2515281
0.24889999628067017,1.2249205112457275,0.0,1.0806143
0.24889999628067017,1.2315239310264587,0.0,0.89891356
0.24889999628067017,1.2372961640357971,0.0,0.69807816
0.24889999628067017,1.2422372698783875,0.0,0.45369795
0.37334999442100525,-1.2422373294830322,0.0,0.45369795
0.37334999442100525,-1.237296223640442,0.0,0.69807816
0.37334999442100525,-1.2315239906311035,0.0,0.89891356
0.37334999442100525,-1.2249205112457275,0.0,1.0806143
0.37334999442100525,-1.217485785484314,0.0,1.2515281
0.37334999442100525,-1.2092199325561523,0.0,1.4154563
0.37334999442100525,-1.2001228332519531,0.0,1.5743947
0.37334999442100525,-1.1901944875717163,0.0,1.7294694
0.37334999442100525,-1.1794350147247314,0.0,1.8813295
0.37334999442100525,-1.167844295501709,0.0,2.0303369
0.37334999442100525,-1.1554224491119385,0.0,2.1766686
0.37334999442100525,-1.1421693563461304,0.0,2.3203793
0.37334999442100525,-1.1280850172042847,0.0,2.4614391
0.37334999442100525,-1.1131694316864014,0.0,2.5997634
0.37334999442100525,-1.09742271900177,0.0,2.7352293
0.37334999442100525,-1.080844759941101,0.0,2.8676925
0.37334999442100525,-1.063435673713684,0.0,2.9969964
0.37334999442100525,-1.0451953411102295,0.0,3.1229818
0.37334999442100525,-1.0261237621307373,0.0,3.245493
0.37334999442100525,-1.0062209367752075,0.0,3.3643835
0.37334999442100525,-0.9854869842529297,0.0,3.4795206
0.37334999442100525,-0.963921844959259,0.0,3.5907872
0.37334999442100525,-0.9415254592895508,0.0,3.698084
0.37334999442100525,-0.9182978272438049,0.0,3.8013306
0.37334999442100525,-0.894239068031311,0.0,3.9004643
0.37334999442100525,-0.8693490624427795,0.0,3.9954417
0.37334999442100525,-0.8436278700828552,0.0,4.086236
0.37334999442100525,-0.8170754313468933,0.0,4.1728363
0.37334999442100525,-0.7896918058395386,0.0,4.255248
0.37334999442100525,-0.761476993560791,0.0,4.3334885
0.37334999442100525,-0.7324309945106506,0.0,4.407588
0.37334999442100525,-0.7025537490844727,0.0,4.4775867
0.37334999442100525,-0.6718453168869019,0.0,4.5435343
0.37334999442100525,-0.6403056383132935,0.0,4.605486
0.37334999442100525,-0.6079347729682922,0.0,4.663503
0.37334999442100525,-0.5747327208518982,0.0,4.717651
0.37334999442100525,-0.5406994819641113,0.0,4.767995
0.37334999442100525,-0.5058349967002869,0.0,4.814601
0.37334999442100525,-0.4701393246650696,0.0,4.8575335
0.37334999442100525,-0.4336124360561371,0.0,4.8968506
0.37334999442100525,-0.3962543308734894,0.0,4.932607
0.37334999442100525,-0.35806503891944885,0.0,4.9648476
0.37334999442100525,-0.3190445601940155,0.0,4.993607
0.37334999442100525,-0.27919283509254456,0.0,5.018907
0.37334999442100525,-0.2385099232196808,0.0,5.040754
0.37334999442100525,-0.196995809674263,0.0,5.0591354
0.37334999442100525,-0.15465047955513,0.0,5.0740175
0.37334999442100525,-0.11147395521402359,0.0,5.085342
0.37334999442100525,-0.06746621429920197,0.0,5.0930204
0.37334999442100525,-0.022627273574471474,0.0,5.096933
0.37334999442100525,0.022627273574471474,0.0,5.096933
0.37334999442100525,0.06746621429920197,0.0,5.0930204
0.37334999442100525,0.11147395521402359,0.0,5.085342
0.37334999442100525,0.15465047955513,0.0,5.0740175
0.37334999442100525,0.196995809674263,0.0,5.0591354
0.37334999442100525,0.2385099232196808,0.0,5.040754
0.37334999442100525,0.27919283509254456,0.0,5.018907
0.37334999442100525,0.3190445601940155,0.0,4.993607
0.37334999442100525,0.35806503891944885,0.0,4.9648476
0.37334999442100525,0.3962543308734894,0.0,4.932607
0.37334999442100525,0.4336124360561371,0.0,4.8968506
0.37334999442100525,0.4701393246650696,0.0,4.8575335
0.37334999442100525,0.5058349967002869,0.0,4.814601
0.37334999442100525,0.5406994819641113,0.0,4.767995
0.37334999442100525,0.5747327208518982,0.0,4.717651
0.37334999442100525,0.6079347729682922,0.0,4.663503
0.37334999442100525,0.6403056383132935,0.0,4.605486
0.37334999442100525,0.6718453168869019,0.0,4.5435343
0.37334999442100525,0.7025537490844727,0.0,4.4775867
0.37334999442100525,0.7324309945106506,0.0,4.407588
0.37334999442100525,0.761476993560791,0.0,4.3334885
0.37334999442100525,0.7896918058395386,0.0,4.255248
0.37334999442100525,0.8170754313468933,0.0,4.1728363
0.37334999442100525,0.8436278700828552,0.0,4.086236
0.37334999442100525,0.8693490624427795,0.0,3.9954417
0.37334999442100525,0.894239068031311,0.0,3.9004643
0.37334999442100525,0.9182978272438049,0.0,3.8013306
0.37334999442100525,0.9415254592895508,0.0,3.698084
0.37334999442100525,0.963921844959259,0.0,3.5907872
0.37334999442100525,0.9854869842529297,0.0,3.4795206
0.37334999442100525,1.0062209367752075,0.0,3.3643835
0.37334999442100525,1.0261237621307373,0.0,3.245493
0.37334999442100525,1.0451953411102295,0.0,3.1229818
0.37334999442100525,1.063435673713684,0.0,2.9969964
0.37334999442100525,1.080844759941101,0.0,2.8676925
0.37334999442100525,1.09742271900177,0.0,2.7352293
0.37334999442100525,1.1131694316864014,0.0,2.5997634
0.37334999442100525,1.1280850172042847,0.0,2.4614391
0.37334999442100525,1.1421693563461304,0.0,2.3203793
0.37334999442100525,1.1554224491119385,0.0,2.1766686
0.37334999442100525,1.167844295501709,0.0,2.0303369
0.37334999442100525,1.1794350147247314,0.0,1.8813295
0.37334999442100525,1.1901944875717163,0.0,1.7294694
0.37334999442100525,1.2001228332519531,0.0,1.5743947
0.37334999442100525,1.2092199325561523,0.0,1.4154563
0.37334999442100525,1.217485785484314,0.0,1.2515281
0.37334999442100525,1.2249205112457275,0.0,1.0806143
0.37334999442100525,1.2315239906311035,0.0,0.89891356
0.37334999442100525,1.237296223640442,0.0,0.69807816
0.37334999442100525,1.2422373294830322,0.0,0.45369795
