x,y,z
6.675000000000000377e-02,7.750000000000000222e-01,2.812672545159230694e-03
6.644999999999999518e-02,7.850000000000000311e-01,2.800031320237166780e-03
6.615000000000000047e-02,7.950000000000000400e-01,2.787390095315102866e-03
6.584999999999999187e-02,8.050000000000000488e-01,2.774748870393038951e-03
6.554999999999999716e-02,8.149999999999999467e-01,2.762107645470975471e-03
6.525000000000000244e-02,8.249999999999999556e-01,2.749466420548911123e-03
6.495000000000000773e-02,8.349999999999999645e-01,2.736825195626847642e-03
6.464999999999999913e-02,8.449999999999999734e-01,2.724183970704783294e-03
6.435000000000000442e-02,8.549999999999999822e-01,2.711542745782719380e-03
6.404999999999999583e-02,8.649999999999999911e-01,2.698901520860655465e-03
6.375000000000000111e-02,8.750000000000000000e-01,2.686260295938591117e-03
6.345000000000000639e-02,8.850000000000000089e-01,2.673619071016527637e-03
6.314999999999999780e-02,8.950000000000000178e-01,2.660977846094463289e-03
6.285000000000000309e-02,9.050000000000000266e-01,2.648336621172399374e-03
6.254999999999999449e-02,9.150000000000000355e-01,2.635695396250335460e-03
6.224999999999999284e-02,9.250000000000000444e-01,2.623054171328271112e-03
6.195000000000000506e-02,9.350000000000000533e-01,2.610412946406207631e-03
6.164999999999999647e-02,9.449999999999999512e-01,2.597771721484143717e-03
6.135000000000000869e-02,9.549999999999999600e-01,2.585130496562080236e-03
6.105000000000000010e-02,9.649999999999999689e-01,2.572489271640015888e-03
6.074999999999999845e-02,9.749999999999999778e-01,2.559848046717951974e-03
6.045000000000000373e-02,9.849999999999999867e-01,2.547206821795888060e-03
6.014999999999999514e-02,9.949999999999999956e-01,2.534565596873823712e-03
