x,y,z
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.250000000000000069e-02,0.000000000000000000e+00
0.000000000000000000e+00,2.500000000000000139e-02,0.000000000000000000e+00
0.000000000000000000e+00,3.750000000000000555e-02,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000278e-02,0.000000000000000000e+00
0.000000000000000000e+00,6.250000000000000000e-02,0.000000000000000000e+00
0.000000000000000000e+00,7.500000000000001110e-02,0.000000000000000000e+00
0.000000000000000000e+00,8.750000000000000833e-02,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.125000000000000028e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.250000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.375000000000000111e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.500000000000000222e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.625000000000000056e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.750000000000000167e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.875000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000111e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.125000000000000222e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.250000000000000056e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.375000000000000167e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.625000000000000111e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.750000000000000222e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.875000000000000333e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000444e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.125000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.250000000000000111e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.375000000000000222e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.500000000000000333e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.625000000000000444e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.750000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.875000000000000111e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000222e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.125000000000000333e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.250000000000000444e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.375000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.500000000000000111e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.625000000000000222e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.750000000000000333e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.875000000000000444e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.125000000000000666e-01,0.000000000000000000e+00
