x,y,z
0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.500000000000001110e-02,-0.000000000000000000e+00
0.000000000000000000e+00,7.500000000000001110e-02,-0.000000000000000000e+00
0.000000000000000000e+00,7.500000000000001110e-02,0.000000000000000000e+00
0.000000000000000000e+00,7.500000000000001110e-02,0.000000000000000000e+00
0.000000000000000000e+00,1.500000000000000222e-01,-0.000000000000000000e+00
0.000000000000000000e+00,1.500000000000000222e-01,-0.000000000000000000e+00
0.000000000000000000e+00,1.500000000000000222e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.500000000000000222e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.250000000000000056e-01,-0.000000000000000000e+00
0.000000000000000000e+00,2.250000000000000056e-01,-0.000000000000000000e+00
0.000000000000000000e+00,2.250000000000000056e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.250000000000000056e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000444e-01,-0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000444e-01,-0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000444e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000444e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.750000000000000000e-01,-0.000000000000000000e+00
0.000000000000000000e+00,3.750000000000000000e-01,-0.000000000000000000e+00
0.000000000000000000e+00,3.750000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.750000000000000000e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.500000000000000111e-01,-0.000000000000000000e+00
0.000000000000000000e+00,4.500000000000000111e-01,-0.000000000000000000e+00
0.000000000000000000e+00,4.500000000000000111e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.500000000000000111e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.250000000000000222e-01,-0.000000000000000000e+00
0.000000000000000000e+00,5.250000000000000222e-01,-0.000000000000000000e+00
0.000000000000000000e+00,5.250000000000000222e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.250000000000000222e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000888e-01,-0.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000888e-01,-0.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000888e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000888e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.750000000000000444e-01,-0.000000000000000000e+00
0.000000000000000000e+00,6.750000000000000444e-01,-0.000000000000000000e+00
0.000000000000000000e+00,6.750000000000000444e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.750000000000000444e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.500000000000000000e-01,-0.000000000000000000e+00
