time,root_z,tip_z
0.0,0.0,0.0
0.005,2.889070388084355e-7,2.290473082275985e-9
0.01,1.2093710369631326e-6,2.0642507668051375e-8
0.015,2.8143696513947396e-6,5.389115497904127e-8
0.02,5.088465306294577e-6,-6.135385312660982e-8
0.025,7.992858102270957e-6,-7.362317908737649e-7
0.030000000000000002,1.1473994043006345e-5,-2.2980697173497266e-6
0.035,1.5466289517325238e-5,-4.629515471288023e-6
0.04,1.9892685547192106e-5,-7.401855803250898e-6
0.045,2.4665318498220607e-5,-1.038372388661229e-5
0.049999999999999996,2.9685651157996787e-5,-1.3340047209142504e-5
0.05499999999999999,3.4845912787872016e-5,-1.5940493730827964e-5
0.05999999999999999,4.003034868173032e-5,-1.7782506169166602e-5
0.06499999999999999,4.511577077654346e-5,-1.8508583145528867e-5
0.06999999999999999,4.997188639439427e-5,-1.8058771155188228e-5
0.075,5.4462927979476134e-5,-1.6685070721018184e-5
0.08,5.844890055140673e-5,-1.4643267451584593e-5
0.085,6.178655906343656e-5,-1.1981448903218909e-5
0.09000000000000001,6.433066375548511e-5,-8.679792137855343e-6
0.09500000000000001,6.593494126382278e-5,-4.803709489712743e-6
0.10000000000000002,6.645302089382607e-5,-3.5799707228024124e-7
0.10500000000000002,6.574034461985853e-5,4.867903956004421e-6
0.11000000000000003,6.36556559214104e-5,1.1268539017564103e-5
0.11500000000000003,6.0061804487059726e-5,1.9238768904828636e-5
0.12000000000000004,5.48268734110218e-5,2.8924765299942473e-5
0.12500000000000003,4.782573287082544e-5,4.0200187294913893e-5
0.13000000000000003,3.894150301292918e-5,5.2874746489135116e-5
0.13500000000000004,2.8066769234387585e-5,6.67702595565452e-5
0.14000000000000004,1.5104613658961894e-5,8.15748017974876e-5
0.14500000000000005,-3.0452808983856594e-8,9.678946906507764e-5
0.15000000000000005,-1.7411445096105958e-5,0.00011191932555503667
0.15500000000000005,-3.709748554576104e-5,0.00012668373962861334
0.16000000000000006,-5.9132725250577654e-5,0.00014103697069367454
0.16500000000000006,-8.354585871696232e-5,0.0001550081241765516
0.17000000000000007,-0.00011034940872728488,0.00016852810784342154
0.17500000000000007,-0.00013953869858500268,0.00018143088325766173
0.18000000000000008,-0.00017109102637121186,0.00019356366687686634
0.18500000000000008,-0.0002049651172606626,0.00020474206312195203
0.19000000000000009,-0.0002411008281986814,0.00021455758118691477
0.1950000000000001,-0.00027941898795841384,0.00022232984450308232
0.2000000000000001,-0.0003198210714742518,0.0002272898918724667
0.2050000000000001,-0.00036218880242557065,0.0002287885630858367
0.2100000000000001,-0.00040638419098233577,0.0002263492865601031
0.2150000000000001,-0.0004522499719151885,0.00021958324381506512
0.2200000000000001,-0.0004996099115561755,0.0002081327345076757
0.22500000000000012,-0.0005482689248194195,0.0001917479898376257
0.23000000000000012,-0.0005980133763392096,0.00017036705792379121
0.23500000000000013,-0.0006486117102253591,0.00014400850056777925
